id,company,title,season,season_inferred,seasons,program,remote,category,location,region,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:gresearch:/job/London-UK/Software-Engineering-Intern_R3746,G-Research,Software Engineering Internship,Not stated,True,,Internship,,Software,"London, UK",IEC countries,unknown,,,Java; C++; C#,2026-09-21T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://gresearch.wd103.myworkdayjobs.com/G-Research/job/London-UK/Software-Engineering-Intern_R3746
amazon:amazon:10554706,Amazon,2027 Software Dev Engineer Intern - Luxembourg,Summer 2027,False,,Internship,,Software,"Luxembourg, International",IEC countries,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-21T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://www.amazon.jobs/en/jobs/10554706/2027-software-dev-engineer-intern-luxembourg
workday:autodesk:/job/Montreal-QC-CAN/Product-Management-Intern--Stagiaire-Gestion-de-Produit_26WD101135-1,Autodesk,"Product Management Intern, Stagiaire Gestion de Produit",Not stated,True,,Internship,,PM,"Montreal, QC, CAN",Canada,unknown,343,,LLMs,2026-09-19T00:00:00Z,date_only,2026-09-20T00:39:11Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Montreal-QC-CAN/Product-Management-Intern--Stagiaire-Gestion-de-Produit_26WD101135-1
amazon:amazon:10553947,Amazon,Software Development Engineer Intern - Summer 2027 (CAN),Summer 2027,False,,Internship,,Software,"Vancouver, International",Canada,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-18T00:00:00Z,date_only,2026-09-18T21:30:35Z,https://www.amazon.jobs/en/jobs/10553947/software-development-engineer-intern-summer-2027-can
oracle:eedu.fa.em3.oraclecloud.com:202605997,WTW,2027 Data Scientist Internship Programme - P&C Insurance - London/Reigate,Summer 2027,False,,Internship,,Data & ML/AI,"London, London, United Kingdom; Reigate, Surrey, United Kingdom",IEC countries,unknown,,,Python; SQL; LLMs,2026-09-18,date_only,2026-09-22T01:54:52Z,https://eedu.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/job/202605997
oracle:ekbq.fa.em2.oraclecloud.com:1952,Schroders,2027 Product Internship Programme,Summer 2027,False,,Internship,,Other,"London, United Kingdom",IEC countries,unknown,,,,2026-09-18,date_only,2026-09-22T01:54:52Z,https://ekbq.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/1952
oracle:ekbq.fa.em2.oraclecloud.com:1953,Schroders,2027 Schroders Capital Infrastructure - Product Strategy Internship Programme,Summer 2027,False,,Internship,,Software,"London, United Kingdom",IEC countries,unknown,,,,2026-09-18,date_only,2026-09-22T01:54:52Z,https://ekbq.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/1953
smartrecruiters:BoschGroup:744000150296334,Bosch,【MA】Internship Regional Product Manager in Aftermarket Asia Pacific South,Not stated,True,,Internship,,PM,"Bosch Corporation_Internship, Kanagawa, International (JP)",Japan,unknown,188,,Python; SQL,2026-09-18T07:36:48.661Z,exact,2026-09-18T11:23:45Z,https://jobs.smartrecruiters.com/BoschGroup/744000150296334
smartrecruiters:Keenfinity:744000150347490,Keenfinity,Research Intern – AI-Based Audio Optimization,Not stated,True,,Internship,,Data & ML/AI,"Eindhoven, NB, International (NL) (Hybrid)",Canada,unknown,,,Python; C++; MATLAB,2026-09-18T11:25:45.876Z,exact,2026-09-18T15:14:02Z,https://jobs.smartrecruiters.com/Keenfinity/744000150347490
workable:cogna:45A6283F88,Cogna,Software Engineer Intern (2027 Cohort),Summer 2027,False,,Internship,,Software,"London, England, United Kingdom (Hybrid)",IEC countries,unknown,,,Python; Java; C++; C#; Go; Rust; TypeScript; LLMs,2026-09-18T00:00:00.000Z,date_only,2026-09-22T01:54:52Z,https://apply.workable.com/cogna/j/45A6283F88/
workday:clearwateranalytics:/job/Office---London/Product-Management-Intern_R12199,CWAN,Product Management Intern,Not stated,True,,Internship,,PM,Office - London,IEC countries,unknown,,,Python; SQL,2026-09-18T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://clearwateranalytics.wd1.myworkdayjobs.com/Clearwater_Analytics_Careers/job/Office---London/Product-Management-Intern_R12199
workday:ferrovial:/job/Madrid/AI-Engineer-Internship_JR19380,Ferrovial,AI Engineer Internship,Not stated,True,,Internship,,Data & ML/AI,Madrid,IEC countries,unknown,,,Python; PyTorch; TensorFlow; scikit-learn; LLMs; Computer Vision; Azure; Git,2026-09-18T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://ferrovial.wd3.myworkdayjobs.com/ferrovial_career_site/job/Madrid/AI-Engineer-Internship_JR19380
workday:genesys:/job/Toronto-Flexible/Software-Developer--Intern--Genesys-Cloud-_JR112244-1,Genesys,"Software Developer, Intern (Genesys Cloud)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,TypeScript; JavaScript; Vue; AWS,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer--Intern--Genesys-Cloud-_JR112244-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-Full-Stack-Intern--AI-Scoring--Evaluations-and-Surveys_JR112168-1,Genesys,"Software Developer Full-Stack Intern, AI Scoring, Evaluations and Surveys",Not stated,True,,Internship,,Data & ML/AI,Toronto (Flexible),Canada,unknown,,,Python; Java; TypeScript; JavaScript; React; HTML/CSS; Spring; AWS,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-Full-Stack-Intern--AI-Scoring--Evaluations-and-Surveys_JR112168-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-Intern--Predictions-Data---Decision-Science_JR112176-1,Genesys,"Software Developer Intern, Predictions Data & Decision Science",Not stated,True,,Internship,,Data & ML/AI,Toronto (Flexible),Canada,unknown,,,Python; Java; C++; C#; LLMs; AWS; Git,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-Intern--Predictions-Data---Decision-Science_JR112176-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Agent-Development-_JR112174-1,Genesys,"Software Developer in Test, Intern (Agent Development)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Python; Java; AWS; Selenium,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Agent-Development-_JR112174-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Genesys-Cloud-_JR112179-1,Genesys,"Software Developer in Test, Intern (Genesys Cloud)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Python; Java; TypeScript; JavaScript; LLMs; AWS; Git,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Genesys-Cloud-_JR112179-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Genesys-Cloud-_JR112183-1,Genesys,"Software Developer in Test, Intern (Genesys Cloud)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Python; Java; Kotlin; AWS; Git; Selenium,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-in-Test--Intern--Genesys-Cloud-_JR112183-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-in-Test--Intern--WEM-_JR112136-1,Genesys,"Software Developer in Test, Intern (WEM)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Python; Java; LLMs; AWS; Git; Selenium,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-in-Test--Intern--WEM-_JR112136-1
workday:genesys:/job/Toronto-Flexible/Software-Developer-in-Test--Intern--WEM-_JR112184-1,Genesys,"Software Developer in Test, Intern (WEM)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Python; Java; LLMs; AWS; Git; Selenium,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Software-Developer-in-Test--Intern--WEM-_JR112184-1
workday:genesys:/job/Toronto-Flexible/Web-Software-Developer--Intern--WFM-_JR112295-1,Genesys,"Web Software Developer, Intern (WFM)",Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Java; TypeScript; JavaScript; Vue; HTML/CSS; AWS; Git,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Web-Software-Developer--Intern--WFM-_JR112295-1
workday:genesys:/job/Toronto-Flexible/Web-Software-Developer-Intern--WFM-_JR112214-1,Genesys,Web Software Developer Intern (WFM),Not stated,True,,Internship,,Software,Toronto (Flexible),Canada,unknown,,,Java; TypeScript; JavaScript; Vue; HTML/CSS; AWS; Git,2026-09-18T00:00:00Z,date_only,2026-09-18T18:39:06Z,https://genesys.wd1.myworkdayjobs.com/Genesys/job/Toronto-Flexible/Web-Software-Developer-Intern--WFM-_JR112214-1
workday:sunlife:/job/Waterford-Waterford-Ireland/Jr-Analytics-and-Automation-Developer-Intern_JR00128023,Sun Life,Jr. Analytics and Automation Developer Intern,Not stated,True,,Internship,,Data & ML/AI,"Waterford, Waterford, Ireland",IEC countries,unknown,,,Python; Java; C++,2026-09-18T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://sunlife.wd3.myworkdayjobs.com/Experienced-Jobs/job/Waterford-Waterford-Ireland/Jr-Analytics-and-Automation-Developer-Intern_JR00128023
greenhouse:rothesaygraduates:8811533002,Rothesay,2027 Summer Internship Programme - Quantitative Strategist,Summer 2027,False,,Internship,,Quant,London,IEC countries,unknown,,,Python; C++,2026-09-17T07:42:29-04:00,exact,2026-09-22T01:54:52Z,https://job-boards.greenhouse.io/rothesaygraduates/jobs/8811533002
greenhouse:towerresearchcapital:8212179,Tower Research Capital,Stagiaire en développement de logiciels (été 2027) / Software Developer Intern (Summer 2027),Summer 2027,False,,Internship,,Software,Montreal,Canada,unknown,38,,Python; Java; C++; Go; Rust; SQL; Linux,2026-09-17T16:59:48-04:00,exact,2026-09-17T22:41:18Z,https://www.tower-research.com/open-positions/?gh_jid=8212179
smartrecruiters:BoschGroup:744000150216697,Bosch,DATA ANALYST INTERN,Not stated,True,,Internship,,Data & ML/AI,"San Francisco, Heredia, International (CR) (Hybrid)",IEC countries,unknown,188,,Python; SQL; Pandas; Git; Tableau,2026-09-17T21:06:04.580Z,exact,2026-09-22T01:54:52Z,https://jobs.smartrecruiters.com/BoschGroup/744000150216697
workday:autodesk:/job/Montreal-QC-CAN/Intern--Software-Developer--Stagiaire-en-Dveloppement-Logiciel_26WD101114-1,Autodesk,"Intern, Software Developer/ Stagiaire en Développement Logiciel",Not stated,True,,Internship,,Software,"Montreal, QC, CAN",Canada,unknown,343,,Java,2026-09-17T00:00:00Z,date_only,2026-09-17T15:32:04Z,https://autodesk.wd1.myworkdayjobs.com/uni/job/Montreal-QC-CAN/Intern--Software-Developer--Stagiaire-en-Dveloppement-Logiciel_26WD101114
workday:bci:/job/Victoria-BC/AI-and-Automation-Engineer-Co-op-Internship--Winter---Summer-2027-_JR101597-1,British Columbia Investment,AI and Automation Engineer Co-op/Internship (Winter & Summer 2027),Summer 2027,False,,Internship / Co-op,,Data & ML/AI,"Victoria, BC",Canada,unknown,,,Python; LLMs; Azure; Terraform; Git,2026-09-17T00:00:00Z,date_only,2026-09-17T10:42:32Z,https://bci.wd10.myworkdayjobs.com/BCI_Careers/job/Victoria-BC/AI-and-Automation-Engineer-Co-op-Internship--Winter---Summer-2027-_JR101597-1
workday:bci:/job/Victoria-BC/DevSecOps-Engineer-Co-op-Internship--Winter-2027---Summer-2027-_JR101591,British Columbia Investment,DevSecOps Engineer Co-op/Internship (Winter 2027 & Summer 2027),Summer 2027,False,,Internship / Co-op,,Software,"Victoria, BC",Canada,unknown,,,,2026-09-17T00:00:00Z,date_only,2026-09-17T10:42:32Z,https://bci.wd10.myworkdayjobs.com/BCI_Careers/job/Victoria-BC/DevSecOps-Engineer-Co-op-Internship--Winter-2027---Summer-2027-_JR101591
workday:bci:/job/Victoria-BC/Investment-Tech-Data---Analytics----Software-Engineer-Co-op-Internship--Winter-2027-or-Winter---Summer-2027-_JR101596,British Columbia Investment,Investment Tech/Data & Analytics -  Software Engineer Co-op Internship (Winter 2027 or Winter & Summer 2027),Summer 2027,False,,Internship / Co-op,,Data & ML/AI,"Victoria, BC",Canada,unknown,,,Git,2026-09-17T00:00:00Z,date_only,2026-09-17T10:42:32Z,https://bci.wd10.myworkdayjobs.com/BCI_Careers/job/Victoria-BC/Investment-Tech-Data---Analytics----Software-Engineer-Co-op-Internship--Winter-2027-or-Winter---Summer-2027-_JR101596
workday:bci:/job/Victoria-BC/Platform-Engineer-ServiceNow-Co-op-Internship--Winter-2027---Summer-2027-_JR101585,British Columbia Investment,Platform Engineer ServiceNow Co-op/Internship (Winter 2027 & Summer 2027),Summer 2027,False,,Internship / Co-op,,Software,"Victoria, BC",Canada,unknown,,,Python; JavaScript; HTML/CSS,2026-09-17T00:00:00Z,date_only,2026-09-17T10:42:32Z,https://bci.wd10.myworkdayjobs.com/BCI_Careers/job/Victoria-BC/Platform-Engineer-ServiceNow-Co-op-Internship--Winter-2027---Summer-2027-_JR101585
workday:bci:/job/Victoria-BC/Portfolio-Management---Insights-Co-op-Internship--Winter-2027-or-Summer-2027-_JR101581,British Columbia Investment,Infrastructure & Renewable Resources - Portfolio Management & Insights Co-op/Internship (Winter or Summer 2027),Summer 2027,False,,Internship / Co-op,,Software,"Victoria, BC",Canada,unknown,,,,2026-09-17T00:00:00Z,date_only,2026-09-17T10:42:32Z,https://bci.wd10.myworkdayjobs.com/BCI_Careers/job/Victoria-BC/Portfolio-Management---Insights-Co-op-Internship--Winter-2027-or-Summer-2027-_JR101581
workday:manulife:/job/Toronto-Ontario/Summer-Intern-2027---Infrastructure-Equity-Internship_JR26081107,Manulife Financial,Summer Intern 2027 - Infrastructure Equity Internship,Summer 2027,False,,Internship,,Software,"Toronto, Ontario",Canada,unknown,,,HTML/CSS,2026-09-17T00:00:00Z,date_only,2026-09-17T15:32:04Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Summer-Intern-2027---Infrastructure-Equity-Internship_JR26081107
workday:manulife:/job/Waterloo-Ontario/Summer-Intern-2027---Software-Engineering--12-Months-_JR26091053,Manulife Financial,Summer Intern 2027 - Software Engineering (12 Months),Summer 2027,False,,Internship,,Software,"Waterloo, Ontario",Canada,unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-09-17T00:00:00Z,date_only,2026-09-17T22:41:18Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Waterloo-Ontario/Summer-Intern-2027---Software-Engineering--12-Months-_JR26091053
workday:rockwellautomation:/job/Waterloo-Ontario-Canada/Co-op--Robotics-Research---Physical-AI--OTTO-at-Rockwell-Automation-_R26-6872-1,Rockwell Automation,"Co-op, Robotics Research - Physical AI (OTTO at Rockwell Automation)",Not stated,True,,Co-op,,Data & ML/AI,"Waterloo, Ontario, Canada",Canada,no-sponsorship,90,,PyTorch; ROS,2026-09-17T00:00:00Z,date_only,2026-09-17T22:41:18Z,https://rockwellautomation.wd1.myworkdayjobs.com/External_Rockwell_Automation/job/Waterloo-Ontario-Canada/Co-op--Robotics-Research---Physical-AI--OTTO-at-Rockwell-Automation-_R26-6872-1
workday:rockwellautomation:/job/Waterloo-Ontario-Canada/Co-op--User-Experience---Robotics_R26-6732-1,Rockwell Automation,"Co-op, User Experience - Robotics (OTTO by Rockwell Automation)",Not stated,True,,Co-op,,Design,"Waterloo, Ontario, Canada",Canada,no-sponsorship,90,,LLMs; React; ROS,2026-09-17T00:00:00Z,date_only,2026-09-17T22:41:18Z,https://rockwellautomation.wd1.myworkdayjobs.com/External_Rockwell_Automation/job/Waterloo-Ontario-Canada/Co-op--User-Experience---Robotics_R26-6732-1
ashby:talos-trading:42cad756-c312-4142-a9b7-18ed76f61c5d,Talos,"Software Engineer Intern, Trading",Summer 2027,False,,Internship,,Quant,London,IEC countries,unknown,,,Java; C++; Git; PostgreSQL,2026-09-16T11:11:20.371+00:00,exact,2026-09-22T01:54:52Z,https://jobs.ashbyhq.com/talos-trading/42cad756-c312-4142-a9b7-18ed76f61c5d
ashby:talos-trading:f2a0aaa2-af88-4715-9f2d-8f61bd5e2935,Talos,"Software Engineer Intern, Infrastructure",Summer 2027,False,,Internship,,Software,London,IEC countries,unknown,,,Python; Java; Bash; AWS; GCP; Linux; Git,2026-09-16T12:22:01.179+00:00,exact,2026-09-22T01:54:52Z,https://jobs.ashbyhq.com/talos-trading/f2a0aaa2-af88-4715-9f2d-8f61bd5e2935
greenhouse:schonfeld:8207942,Schonfeld,2027 DMFI Quant Developer Intern,Summer 2027,False,,Internship,,Quant,"London, England, United Kingdom",IEC countries,unknown,,,Python; C++,2026-09-16T12:57:16-04:00,exact,2026-09-22T01:54:52Z,https://job-boards.greenhouse.io/schonfeld/jobs/8207942
smartrecruiters:BoschGroup:744000149963299,Bosch,WEB DEVELOPER INTERN (PYTHON & AUTOMATION),Not stated,True,,Internship,,Software,"San Francisco, Heredia, International (CR) (Hybrid)",IEC countries,unknown,188,,Python; JavaScript; Angular; HTML/CSS; Docker; Git,2026-09-16T22:40:11.274Z,exact,2026-09-22T01:54:52Z,https://jobs.smartrecruiters.com/BoschGroup/744000149963299
workable:javelin-global-commodities:C2B7BC10AD,Javelin Global Commodities,Summer Intern: Software Engineering,Not stated,True,,Internship,,Software,"London, England, United Kingdom",IEC countries,unknown,,,,2026-09-16T00:00:00.000Z,date_only,2026-09-22T01:54:52Z,https://apply.workable.com/javelin-global-commodities/j/C2B7BC10AD/
workday:ciena:/job/Ottawa/AI---Automation-Intern---GCN-Services-Business-Operations_R031664,Ciena,AI & Automation Intern - GCN Services Business Operations,Not stated,True,,Internship,,Data & ML/AI,Ottawa,Canada,unknown,43,,,2026-09-16T00:00:00Z,date_only,2026-09-16T19:08:49Z,https://ciena.wd5.myworkdayjobs.com/careers/job/Ottawa/AI---Automation-Intern---GCN-Services-Business-Operations_R031664
workday:ffive:/job/Cork/Software-Engineering-Intern_RP1038785,F5,Software Engineering Intern,Not stated,True,,Internship,,Software,Cork,IEC countries,unknown,228,,Python; Kubernetes,2026-09-16T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://ffive.wd5.myworkdayjobs.com/f5jobs/job/Cork/Software-Engineering-Intern_RP1038785
workday:nvidia:/job/Germany-Munich/Software-Engineering-Intern---Replay-Tooling---Test-Automation--Autonomous-Driving_JR2022086,NVIDIA,Software Engineering Intern — Replay Tooling and Test Automation - Autonomous Driving,Not stated,True,,Internship,,Software,"Germany, Munich",IEC countries,unknown,1526,,Python; C++; Linux; Git,2026-09-16T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Germany-Munich/Software-Engineering-Intern---Replay-Tooling---Test-Automation--Autonomous-Driving_JR2022086
workday:nvidia:/job/Taiwan-Taipei/Firmware-Application-Engineer--RDSS-Intern-_JR2024884,NVIDIA,Firmware Application Engineer (RDSS Intern),Not stated,True,,Internship,,Hardware,"Taiwan, Taipei",IEC countries,unknown,1526,,Python; C++; Linux,2026-09-16T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Taipei/Firmware-Application-Engineer--RDSS-Intern-_JR2024884
workday:nvidia:/job/Taiwan-Taipei/Server-Firmware-Developer--RDSS-Intern-_JR2025558,NVIDIA,Server Firmware Developer (RDSS Intern),Not stated,True,,Internship,,Hardware,"Taiwan, Taipei",IEC countries,unknown,1526,,Python; C++; Bash; Linux; Git,2026-09-16T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Taipei/Server-Firmware-Developer--RDSS-Intern-_JR2025558
workday:pwc:/job/Milan/Cloud-Infrastructure-Intern---Milano_741403WD-1,PricewaterhouseCoopers (PwC),Cloud Infrastructure Intern - Milano,Not stated,True,,Internship,,Software,Milan,IEC countries,citizens-only,,,,2026-09-16T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://pwc.wd3.myworkdayjobs.com/Global_Campus_Careers/job/Milan/Cloud-Infrastructure-Intern---Milano_741403WD-1
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39600,Nokia,Hardware Developer Eng Co-op/Intern,Not stated,True,,Internship / Co-op,,Hardware,Canada,Canada,unknown,,,,2026-09-15,date_only,2026-09-15T17:58:19Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39600
